order_id,opened_at,closed_at,symbol,side,qty,entry_price,exit_price,stop_loss,take_profit,pnl_usd,pnl_pct,total_fee,status,source,close_reason
1,2026-08-01 09:51:02,2026-08-01 10:32:27,BTCUSD,LONG,1.984,63009.0,63065.0,62693.955,63954.134999999995,-36.4732,0.0889,147.5772,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-01 10:32:28,2026-08-01 10:37:41,BTCUSD,SHORT,1.975,63065.0,63083.5,63380.32499999999,62119.025,-183.532,-0.0293,146.9945,FILLED,AI_AUTO,ai_signal_flip
3,2026-08-01 10:37:42,2026-08-01 10:45:10,BTCUSD,LONG,1.938,63083.5,63100.0,62768.0825,64029.752499999995,-112.3037,0.0262,144.2807,FILLED,AI_AUTO,ai_signal_flip
1,2026-08-01 11:15:40,2026-08-01 11:17:21,BTCUSD,LONG,1.918,62990.0,62984.0,62675.05,63934.84999999999,-154.0627,-0.0095,142.5547,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-01 11:17:21,2026-08-01 11:21:06,BTCUSD,SHORT,1.888,62984.0,62990.0,63298.91999999999,62039.24,-151.6529,-0.0095,140.3249,FILLED,AI_AUTO,ai_signal_flip
1,2026-08-01 11:31:50,2026-08-01 11:34:59,BTCUSD,LONG,1.857,63010.0,62986.0,62694.95,63955.149999999994,-182.613,-0.0381,138.045,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-01 11:35:00,2026-08-01 11:46:05,BTCUSD,SHORT,1.822,62986.0,63008.5,63300.92999999999,62041.21,-176.4366,-0.0357,135.4416,FILLED,AI_AUTO,ai_signal_flip
3,2026-08-01 11:46:06,2026-08-01 11:49:28,BTCUSD,LONG,1.786,63008.5,62985.0,62693.4575,63953.627499999995,-174.7354,-0.0373,132.7644,FILLED,AI_AUTO,ai_signal_flip
4,2026-08-01 11:49:28,2026-08-01 11:50:33,BTCUSD,SHORT,1.752,62985.0,63027.0,63299.924999999996,62040.225,-203.84,-0.0667,130.256,FILLED,AI_AUTO,ai_signal_flip
5,2026-08-01 11:50:33,2026-08-01 11:59:57,BTCUSD,LONG,1.71,63027.0,63041.0,62711.865,63972.40499999999,-103.25,0.0222,127.19,FILLED,AI_AUTO,ai_signal_flip
1,2026-08-01 12:14:19,2026-08-01 12:15:23,BTCUSD,LONG,1.689,63051.5,63036.0,62736.2425,63997.27249999999,-151.827,-0.0246,125.6475,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-01 12:15:23,2026-08-01 12:20:12,BTCUSD,SHORT,1.66,63036.0,63054.0,63351.17999999999,62090.46,-153.3726,-0.0286,123.4926,FILLED,AI_AUTO,ai_signal_flip
1,2026-08-01 20:33:12,2026-08-01 20:36:10,BTCUSD,SHORT,1.688,63085.5,63097.0,63400.92749999999,62139.2175,-145.0797,-0.0182,125.6677,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-01 20:36:10,2026-08-01 20:39:25,BTCUSD,LONG,1.659,63097.0,63084.5,62781.515,64043.454999999994,-144.2452,-0.0198,123.5077,FILLED,AI_AUTO,ai_signal_flip
3,2026-08-01 20:39:26,2026-08-02 08:55:02,BTCUSD,SHORT,1.631,63084.5,63471.0,63399.92249999999,62138.2325,-752.1646,-0.6127,121.7831,FILLED,AI_AUTO,stop
1,2026-08-02 08:56:27,2026-08-02 08:58:11,BTCUSD,LONG,1.473,63476.5,63415.0,63159.1175,64428.64749999999,-200.8671,-0.0969,110.2776,FILLED,AI_AUTO,ai_signal_flip
2,2026-08-02 08:58:11,2026-08-02 09:06:33,BTCUSD,SHORT,1.435,63415.0,63470.0,63732.07499999999,62463.775,-186.3522,-0.0867,107.4272,FILLED,AI_AUTO,ai_signal_flip
3,2026-08-02 09:06:34,2026-08-02 09:18:56,BTCUSD,LONG,1.397,63470.0,63489.0,63152.65,64422.049999999996,-78.1004,0.0299,104.6434,FILLED,AI_AUTO,ai_signal_flip
4,2026-08-02 09:18:56,2026-08-02 09:30:24,BTCUSD,SHORT,1.381,63489.0,63472.5,63806.44499999999,62536.665,-80.6605,0.026,103.447,FILLED,AI_AUTO,ai_signal_flip
5,2026-08-02 09:30:24,2026-08-02 09:32:24,BTCUSD,LONG,1.365,63472.5,63490.0,63155.1375,64424.587499999994,-78.3618,0.0276,102.2493,FILLED,AI_AUTO,ai_signal_flip
6,2026-08-02 09:32:24,2026-08-02 09:35:45,BTCUSD,SHORT,1.35,63490.0,63507.0,63807.44999999999,62537.65,-124.1031,-0.0268,101.1531,FILLED,AI_AUTO,ai_signal_flip
7,2026-08-02 09:35:46,2026-08-02 09:44:48,BTCUSD,LONG,1.325,63507.0,63522.5,63189.465,64459.604999999996,-78.7678,0.0244,99.3053,FILLED,AI_AUTO,ai_signal_flip
8,2026-08-02 09:44:49,2026-08-02 09:50:24,BTCUSD,SHORT,1.309,63522.5,63533.0,63840.112499999996,62569.6625,-111.8708,-0.0165,98.1263,FILLED,AI_AUTO,ai_signal_flip
9,2026-08-02 09:50:24,2026-08-02 09:54:32,BTCUSD,LONG,1.287,63533.0,63523.5,63215.335,64485.994999999995,-108.7043,-0.015,96.4778,FILLED,AI_AUTO,ai_signal_flip
11,2026-08-02 09:59:14,2026-08-02 10:05:15,BTCUSD,SHORT,1.472,63526.5,63527.5,63844.13249999999,62573.6025,-111.8159,-0.0016,110.3439,FILLED,AI_AUTO,ai_signal_flip
12,2026-08-02 10:05:15,2026-08-02 10:07:37,BTCUSD,LONG,1.45,63527.5,63506.5,63209.8625,64480.41249999999,-139.1276,-0.0331,108.6776,FILLED,AI_AUTO,ai_signal_flip
13,2026-08-02 10:07:37,2026-08-02 10:21:18,BTCUSD,SHORT,1.423,63506.5,63535.0,63824.032499999994,62553.9025,-147.2158,-0.0449,106.6603,FILLED,AI_AUTO,ai_signal_flip
